ProteinID,PSME1_KD_1_original_intensity,PSME1_KD_2_original_intensity,PSME1_KD_3_original_intensity,Scram_1_original_intensity,Scram_2_original_intensity,Scram_3_original_intensity
COG5,24.60663185253883,24.179976835320414,24.37964458532257,24.011013903742356,24.065478676146736,24.136110962234348
COG6,25.26195958713902,25.14488531255842,25.288067498999972,24.92619387431566,25.133892090040014,25.12713923
COG7,25.50883549255435,25.428671368765762,25.398365496321382,25.32981686502763,25.280141360552275,25.178569845857037
COG8,23.76804662739523,23.583069072232163,23.825977644573545,23.434140887748786,23.259792593586408,23.647102135689483
COIL,25.13492638,24.96015642788884,25.362595600602887,25.335067339805217,25.507461956592028,25.571572263692367
COL12A1,26.447036714609705,21.985201983103416,23.465040515383343,26.030161375673604,26.014194019281664,22.62127142128454
COL18A1,24.124436123212483,24.40511807961897,24.30664413,24.20724581954816,24.359005127600287,24.249826312232912
COL4A1,24.679703069037743,24.744273087142613,24.189977872811436,25.684484831649968,25.11642150863667,25.328812885819474
COL4A3BP,26.742740508900724,26.845765488297012,26.72556542044064,26.42561180376934,26.404062109176394,26.20435476048572
COL5A1,22.25989369432601,22.937009744100624,23.96990652485947,23.42843755522135,23.948552325271688,23.686598103729377
COL6A1,23.68114529174651,23.946235597639745,22.764400530759318,24.449761762258916,23.695815156737254,24.511459022507438
COL7A1,27.805135470990873,27.851526654388014,27.734688183708005,27.576303345205528,27.384672902671756,27.654913014900053
COLGALT1,29.75143638585672,29.56955460174788,29.48168714333183,29.522176673599173,29.46141355991837,29.54054437809898
COMMD10,23.259542493982845,24.85447553523429,24.77306933744732,24.826018119940834,24.78532641731657,24.50619050159126
COMMD2,28.125477628609783,28.269628380199233,28.017239472788457,27.967360969679337,28.36673337342099,28.291468848323202
COMMD3,26.588565997609347,27.00164356930997,27.24404238,27.171972753523534,27.098332311818933,26.808515497397572
COMMD4,25.23505712375341,25.564414078307824,25.53497706713938,25.72308350037664,25.38181752630202,23.846155474767343
COMMD5,26.628165983379397,26.44255799105909,25.80531876029637,25.939660498866484,25.92386202941119,26.387871035651468
COMMD8,28.35530056818591,28.330648101184078,28.200259917370627,28.358528246347355,27.95647370829313,28.055028069815453
COMMD9,25.808563803185972,25.64686659,26.207195851773267,26.12727596342922,25.861807332047547,26.047330569533663
COMT,28.560772443236345,28.447295910065755,28.31583483165613,28.289189614462163,28.207744664811088,28.371916229511417
COMTD1,26.73761123922402,26.405376522907023,25.91268277385247,26.299451993663777,23.429535064368256,26.416096265552035
COPA,29.369925711134005,29.461618970916103,29.47963436670814,29.22017982081219,29.187875703516223,29.24148371182492
COPB1,28.23424428,28.34389732649092,28.347824945900566,28.166545018612783,28.200225715982665,27.957066453696005
COPB2,29.160506675475887,29.268563300296623,29.36101423293119,29.02826649805037,28.956334229872674,28.817612096149364
COPE,29.93441034266163,29.788880796706636,29.93057746144538,29.946744926695917,29.718542114419478,29.650425932912867
